iter	MultiClass
0	1.043721625
1	0.9979632458
2	0.9577571702
3	0.9199290958
4	0.8916394808
5	0.8623247301
6	0.8410830396
7	0.8208404648
8	0.7984561882
9	0.7761273685
10	0.757824878
11	0.7391276678
12	0.7192548828
13	0.7026352109
14	0.6915931509
15	0.6754159954
16	0.6625774511
17	0.6496443711
18	0.6387639106
19	0.6304841107
20	0.6179681249
21	0.6080895178
22	0.5950324075
23	0.5857323974
24	0.5771456593
25	0.5695710237
26	0.5614779608
27	0.5546802708
28	0.5466399854
29	0.5386718413
30	0.5316693484
31	0.525584894
32	0.5195582142
33	0.5130170114
34	0.5072536487
35	0.5029699092
36	0.4963434156
37	0.4913352235
38	0.4841846958
39	0.4782850689
40	0.4740029549
41	0.46976963
42	0.4646452687
43	0.4595433507
44	0.4548297204
45	0.450206321
46	0.4469250043
47	0.4413367574
48	0.4364158702
49	0.4327126152
50	0.4295021396
51	0.4267560461
52	0.4206951408
53	0.4181605272
54	0.4118851682
55	0.4084811077
56	0.403241927
57	0.4001126786
58	0.3952975605
59	0.3914955235
60	0.3898075538
61	0.3853734217
62	0.3820164731
63	0.3785563718
64	0.3759539915
65	0.3728659347
66	0.3691930999
67	0.3663784461
68	0.3642174803
69	0.3611438962
70	0.3582704023
71	0.3545139114
72	0.3524252225
73	0.3494795195
74	0.3471546294
75	0.3452588649
76	0.3428088533
77	0.3401487846
78	0.338204855
79	0.3356152372
80	0.3325259236
81	0.329671183
82	0.3275136876
83	0.3248847438
84	0.3226168936
85	0.319639193
86	0.317234758
87	0.3148933207
88	0.3134876983
89	0.3107161966
90	0.3079690502
91	0.3053831165
92	0.3034638186
93	0.3012818096
94	0.2990418734
95	0.2963075394
96	0.2948884013
97	0.2923201166
98	0.290311249
99	0.2877979421
100	0.2853068608
101	0.2832965751
102	0.2816791202
103	0.2802381705
104	0.2776340082
105	0.275425887
106	0.2740583272
107	0.2721327493
108	0.2705706362
109	0.2683041818
110	0.2662146364
111	0.2647913495
112	0.2633527846
113	0.2619315812
114	0.2598623357
115	0.2588219688
116	0.2566542007
117	0.2548891256
118	0.2529501163
119	0.2511819673
120	0.2498420686
121	0.248136367
122	0.247007152
123	0.2461586529
124	0.2453122038
125	0.2438520118
126	0.2423231983
127	0.2413715767
128	0.2399227722
129	0.2386831346
130	0.2370418387
131	0.2354365711
132	0.2341773575
133	0.2328184634
134	0.2314295566
135	0.2303107202
136	0.2293659309
137	0.2280273882
138	0.2254475003
139	0.223925535
140	0.2223611367
141	0.2217511756
142	0.2200619105
143	0.2185993823
144	0.2174710575
145	0.2165204668
146	0.2152880442
147	0.2145988338
148	0.2129488112
149	0.211202512
150	0.2097586813
151	0.2086114373
152	0.2076503073
153	0.2065416143
154	0.2058744826
155	0.2045654534
156	0.2039453679
157	0.2026108235
158	0.2009189939
159	0.1999237869
160	0.1993584743
161	0.1987377887
162	0.1978220281
163	0.1962727408
164	0.1951815876
165	0.1939489529
166	0.1926339393
167	0.191886819
168	0.1904808405
169	0.1889049232
170	0.1883204137
171	0.1872642098
172	0.1860300887
173	0.1848908022
174	0.184256195
175	0.1835059999
176	0.1822005584
177	0.1810522217
178	0.1801639132
179	0.179380139
180	0.1790479096
181	0.1779173494
182	0.1771114682
183	0.1767785732
184	0.1759628301
185	0.175104079
186	0.1746796361
187	0.1737950325
188	0.1729840357
189	0.1719461724
190	0.1709073147
191	0.1699626967
