iter	Passed	Remaining
0	8	8028
1	14	7298
2	22	7366
3	28	7220
4	36	7358
5	43	7194
6	51	7248
7	58	7215
8	65	7222
9	73	7284
10	80	7247
11	88	7291
12	95	7285
13	105	7399
14	113	7431
15	120	7384
16	128	7417
17	135	7398
18	143	7389
19	150	7397
20	158	7409
21	166	7414
22	174	7399
23	182	7403
24	190	7430
25	198	7418
26	206	7424
27	213	7396
28	220	7397
29	230	7448
30	237	7438
31	246	7441
32	254	7457
33	262	7445
34	283	7819
35	295	7902
36	302	7877
37	309	7841
38	316	7806
39	324	7790
40	331	7755
41	339	7734
42	346	7716
43	353	7680
44	360	7659
45	367	7628
46	375	7609
47	382	7585
48	390	7583
49	397	7552
50	404	7533
51	412	7513
52	419	7490
53	426	7475
54	433	7454
55	441	7441
56	448	7423
57	456	7413
58	463	7390
59	470	7375
60	477	7351
61	484	7331
62	492	7319
63	499	7303
64	506	7288
65	513	7264
66	520	7254
67	527	7233
68	535	7220
69	542	7201
70	549	7186
71	556	7173
72	563	7153
73	571	7151
74	578	7136
75	586	7127
76	593	7112
77	600	7103
78	608	7091
79	615	7076
80	622	7064
81	629	7047
82	637	7037
83	643	7021
84	651	7016
85	658	7001
86	666	6992
87	674	6992
88	682	6982
89	690	6976
90	696	6959
91	704	6955
92	711	6935
93	718	6929
94	726	6923
95	736	6932
96	745	6943
97	755	6954
98	778	7087
99	787	7088
100	796	7093
101	805	7089
102	814	7091
103	821	7079
104	828	7061
105	835	7049
106	842	7032
107	849	7020
108	857	7007
109	864	6995
110	872	6988
111	879	6972
112	887	6962
113	893	6945
114	900	6933
115	907	6915
116	915	6909
117	922	6897
118	929	6883
119	937	6871
120	943	6856
121	951	6849
122	958	6834
123	965	6823
124	972	6808
125	981	6805
126	988	6796
127	995	6783
128	1003	6776
129	1010	6764
130	1018	6755
131	1025	6743
132	1033	6734
133	1040	6723
134	1047	6709
135	1054	6698
136	1061	6687
137	1069	6677
138	1076	6665
139	1084	6659
140	1090	6645
141	1099	6641
142	1107	6637
143	1119	6656
144	1127	6649
145	1138	6657
146	1147	6658
147	1155	6653
148	1163	6645
149	1170	6634
150	1178	6626
151	1186	6621
152	1193	6609
153	1201	6601
154	1208	6588
155	1216	6581
156	1223	6571
157	1230	6559
158	1238	6549
159	1245	6538
160	1253	6530
161	1260	6519
162	1267	6510
163	1274	6498
164	1281	6486
165	1289	6477
166	1296	6466
167	1303	6457
168	1310	6445
169	1318	6437
170	1325	6424
171	1332	6414
172	1339	6401
173	1346	6391
174	1353	6379
175	1360	6369
176	1367	6360
177	1374	6348
178	1382	6339
179	1388	6327
180	1396	6318
181	1403	6307
182	1410	6298
183	1417	6286
184	1425	6277
185	1431	6265
186	1438	6255
187	1446	6245
188	1453	6235
189	1460	6225
190	1467	6215
191	1474	6206
192	1481	6194
193	1488	6185
194	1495	6174
195	1503	6167
196	1510	6155
197	1517	6147
198	1525	6139
199	1532	6128
200	1539	6120
201	1546	6110
202	1554	6102
203	1561	6091
204	1568	6083
205	1575	6073
206	1583	6066
207	1590	6057
208	1598	6048
209	1605	6040
210	1612	6030
211	1620	6022
212	1627	6011
213	1634	6003
214	1642	5995
215	1649	5986
216	1656	5977
217	1663	5966
218	1670	5958
219	1678	5950
220	1686	5945
221	1694	5936
222	1701	5928
223	1709	5922
224	1716	5912
225	1723	5903
226	1730	5893
227	1738	5885
228	1744	5875
229	1752	5867
230	1759	5857
231	1766	5847
232	1773	5837
233	1780	5828
234	1787	5820
235	1794	5810
236	1802	5802
237	1809	5792
238	1816	5784
239	1823	5774
240	1831	5767
241	1838	5759
242	1845	5750
243	1853	5741
244	1860	5731
245	1867	5722
246	1873	5712
247	1881	5704
248	1888	5695
249	1896	5688
250	1902	5678
251	1910	5669
252	1917	5661
253	1925	5654
254	1932	5646
255	1939	5637
256	1947	5629
257	1954	5620
258	1961	5613
259	1969	5605
260	1976	5594
261	1983	5587
262	1990	5578
263	1998	5570
264	2004	5560
265	2012	5553
266	2019	5544
267	2027	5537
268	2034	5528
269	2041	5519
270	2048	5510
271	2055	5501
272	2063	5494
273	2070	5485
274	2078	5479
275	2085	5470
276	2092	5462
277	2100	5454
278	2107	5445
279	2114	5438
280	2122	5430
281	2129	5422
282	2136	5413
283	2144	5406
284	2151	5397
285	2158	5388
286	2165	5379
287	2173	5372
288	2181	5365
289	2187	5356
290	2195	5348
291	2203	5341
292	2220	5357
293	2227	5347
294	2234	5340
295	2241	5331
296	2248	5322
297	2255	5314
298	2263	5305
299	2270	5297
300	2277	5288
301	2285	5282
302	2292	5273
303	2300	5266
304	2308	5259
305	2317	5256
306	2325	5248
307	2332	5241
308	2340	5234
309	2348	5227
310	2355	5218
311	2363	5212
312	2371	5205
313	2379	5198
314	2386	5190
315	2394	5182
316	2402	5175
317	2409	5167
318	2417	5160
319	2424	5152
320	2432	5145
321	2441	5140
322	2449	5133
323	2457	5126
324	2464	5118
325	2472	5110
326	2479	5103
327	2487	5095
328	2494	5088
329	2501	5078
330	2509	5071
331	2516	5063
332	2524	5056
333	2531	5048
334	2538	5039
335	2546	5031
336	2553	5023
337	2560	5014
338	2566	5005
339	2574	4997
340	2581	4988
341	2589	4981
342	2595	4972
343	2604	4965
344	2610	4957
345	2617	4948
346	2625	4940
347	2632	4932
348	2640	4925
349	2647	4916
350	2655	4909
351	2662	4902
352	2669	4893
353	2677	4886
354	2684	4877
355	2692	4870
356	2699	4862
357	2706	4854
358	2713	4844
359	2721	4837
360	2728	4829
361	2735	4820
362	2742	4812
363	2749	4804
364	2757	4796
365	2763	4787
366	2771	4779
367	2778	4770
368	2789	4769
369	2803	4773
370	2817	4777
371	2827	4774
372	2839	4773
373	2847	4766
374	2854	4757
375	2861	4749
376	2868	4740
377	2876	4733
378	2883	4725
379	2891	4717
380	2898	4709
381	2905	4701
382	2913	4693
383	2920	4684
384	2927	4676
385	2934	4667
386	2942	4660
387	2949	4651
388	2956	4643
389	2963	4635
390	2970	4627
391	2978	4619
392	2985	4611
393	2993	4603
394	3000	4594
395	3007	4587
396	3014	4578
397	3021	4570
398	3028	4561
399	3035	4553
400	3042	4545
401	3050	4537
402	3057	4529
403	3064	4521
404	3072	4513
405	3078	4504
406	3086	4497
407	3094	4489
408	3102	4482
409	3110	4475
410	3116	4466
411	3124	4459
412	3131	4450
413	3139	4443
414	3146	4435
415	3153	4426
416	3162	4421
417	3169	4413
418	3177	4405
419	3184	4397
420	3192	4390
421	3200	4383
422	3207	4375
423	3214	4367
424	3222	4359
425	3230	4352
426	3237	4344
427	3244	4336
428	3252	4328
429	3259	4320
430	3266	4312
431	3273	4304
432	3280	4296
433	3287	4287
434	3294	4279
435	3301	4271
436	3309	4263
437	3316	4255
438	3323	4247
439	3331	4239
440	3338	4231
441	3346	4224
442	3353	4216
443	3360	4208
444	3367	4200
445	3375	4192
446	3381	4183
447	3388	4175
448	3395	4167
449	3403	4159
450	3411	4152
451	3418	4144
452	3425	4136
453	3432	4127
454	3439	4120
455	3446	4111
456	3453	4103
457	3461	4096
458	3468	4088
459	3475	4080
460	3482	4071
461	3490	4064
462	3497	4056
463	3504	4048
464	3511	4040
465	3519	4032
466	3526	4024
467	3533	4016
468	3540	4008
469	3547	4000
470	3555	3992
471	3561	3984
472	3569	3977
473	3576	3969
474	3584	3961
475	3591	3953
476	3599	3946
477	3606	3938
478	3613	3930
479	3621	3923
480	3628	3915
481	3636	3908
482	3644	3900
483	3651	3892
484	3658	3885
485	3665	3876
486	3673	3869
487	3680	3861
488	3688	3854
489	3694	3845
490	3701	3837
491	3708	3829
492	3715	3821
493	3723	3813
494	3730	3805
495	3737	3797
496	3744	3789
497	3752	3782
498	3759	3774
499	3767	3767
500	3774	3759
501	3781	3751
502	3789	3744
503	3796	3735
504	3803	3728
505	3810	3719
506	3817	3712
507	3824	3704
508	3832	3696
509	3839	3688
510	3846	3680
511	3853	3672
512	3860	3664
513	3867	3657
514	3874	3648
515	3881	3641
516	3889	3633
517	3896	3625
518	3903	3617
519	3911	3610
520	3918	3602
521	3925	3594
522	3932	3586
523	3939	3578
524	3946	3570
525	3953	3562
526	3960	3554
527	3967	3546
528	3974	3538
529	3981	3530
530	3989	3523
531	3996	3515
532	4003	3507
533	4010	3499
534	4017	3491
535	4024	3484
536	4031	3476
537	4039	3468
538	4046	3460
539	4053	3453
540	4060	3444
541	4067	3437
542	4074	3429
543	4081	3421
544	4089	3413
545	4096	3406
546	4103	3398
547	4110	3390
548	4118	3383
549	4124	3374
550	4132	3367
551	4139	3359
552	4147	3352
553	4155	3345
554	4162	3337
555	4169	3329
556	4176	3321
557	4184	3314
558	4191	3306
559	4199	3299
560	4205	3291
561	4213	3283
562	4220	3275
563	4227	3267
564	4240	3265
565	4255	3263
566	4263	3255
567	4270	3247
568	4277	3240
569	4284	3232
570	4291	3224
571	4298	3216
572	4306	3208
573	4313	3201
574	4320	3193
575	4327	3185
576	4334	3177
577	4344	3171
578	4351	3164
579	4358	3156
580	4366	3148
581	4373	3141
582	4381	3133
583	4388	3126
584	4396	3118
585	4403	3110
586	4410	3103
587	4418	3096
588	4425	3088
589	4432	3080
590	4439	3072
591	4447	3065
592	4454	3057
593	4461	3049
594	4468	3041
595	4475	3033
596	4483	3026
597	4490	3018
598	4498	3011
599	4506	3004
600	4515	2997
601	4523	2990
602	4530	2982
603	4539	2975
604	4546	2968
605	4553	2960
606	4562	2953
607	4569	2946
608	4577	2939
609	4585	2931
610	4593	2924
611	4600	2916
612	4607	2908
613	4615	2901
614	4623	2894
615	4632	2887
616	4640	2880
617	4648	2873
618	4657	2866
619	4665	2859
620	4673	2851
621	4681	2845
622	4688	2837
623	4696	2830
624	4704	2822
625	4711	2814
626	4718	2806
627	4725	2799
628	4733	2791
629	4739	2783
630	4747	2776
631	4754	2768
632	4761	2760
633	4769	2753
634	4776	2745
635	4784	2738
636	4791	2730
637	4798	2722
638	4805	2714
639	4812	2707
640	4820	2699
641	4827	2691
642	4834	2684
643	4841	2676
644	4848	2668
645	4855	2660
646	4863	2653
647	4870	2645
648	4877	2637
649	4884	2630
650	4891	2622
651	4898	2614
652	4906	2607
653	4913	2599
654	4920	2591
655	4928	2584
656	4935	2576
657	4942	2568
658	4949	2561
659	4956	2553
660	4963	2545
661	4971	2538
662	4977	2530
663	4984	2522
664	4991	2514
665	4998	2506
666	5006	2499
667	5013	2491
668	5022	2484
669	5031	2478
670	5042	2472
671	5052	2466
672	5062	2459
673	5083	2458
674	5090	2450
675	5097	2443
676	5104	2435
677	5112	2427
678	5119	2420
679	5126	2412
680	5133	2404
681	5141	2397
682	5149	2390
683	5156	2382
684	5164	2375
685	5172	2367
686	5180	2360
687	5187	2352
688	5196	2345
689	5204	2338
690	5211	2330
691	5218	2322
692	5225	2315
693	5234	2307
694	5242	2300
695	5248	2292
696	5256	2285
697	5263	2277
698	5271	2270
699	5278	2262
700	5285	2254
701	5292	2246
702	5299	2239
703	5306	2231
704	5314	2223
705	5321	2216
706	5328	2208
707	5336	2200
708	5343	2193
709	5350	2185
710	5357	2177
711	5364	2170
712	5372	2162
713	5379	2154
714	5386	2147
715	5393	2139
716	5400	2131
717	5407	2123
718	5415	2116
719	5422	2108
720	5429	2101
721	5436	2093
722	5443	2085
723	5450	2077
724	5457	2070
